name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Alice Braga,1983-04-15,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Scarlett Johansson,1984-11-22,USA
Sônia Braga,1950-06-08,BRAZIL
Denzel Washington,1954-12-28,USA
Lázaro Ramos,1978-11-01,BRAZIL
Jennifer Lawrence,1990-08-15,USA
Taís Araújo,1978-11-25,BRAZIL
Brad Pitt,1963-12-18,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Robert Downey Jr.,1965-04-04,USA
Selton Mello,1972-12-30,BRAZIL
Dwayne Johnson,1972-05-02,USA
Seu Jorge,1970-06-08,BRAZIL
Emma Stone,1988-11-06,USA
Juliana Paes,1979-03-26,BRAZIL